| Start Node | End Node | Attack | Vulnerability Type | Vulnerability Name |
| 17 | 33 | Inject | Known Vulnerability | Measurement Report Leak |
| 17 | 33 | Modify | Known Vulnerability | Measurement Report Leak |
| 17 | 33 | Replay | Known Vulnerability | Measurement Report Leak |
| 19 | 33 | Inject | Known Vulnerability | Measurement Report Leak |
| 19 | 33 | Drop | Known Vulnerability | Measurement Report Leak |
| 19 | 33 | Modify | Known Vulnerability | Measurement Report Leak |
| 19 | 33 | Replay | Known Vulnerability | Measurement Report Leak |
| 19 | 53 | Inject | Known Vulnerability | Measurement Report Leak |
| 19 | 53 | Drop | Known Vulnerability | Measurement Report Leak |
| 19 | 53 | Modify | Known Vulnerability | Measurement Report Leak |
| 19 | 53 | Replay | Known Vulnerability | Measurement Report Leak |
| 19 | 56 | Modify | Known Vulnerability | Measurement Report Leak |
| 19 | 56 | Replay | Known Vulnerability | Measurement Report Leak |
| 19 | 57 | Inject | Known Vulnerability | Measurement Report Leak |
| 19 | 57 | Drop | Known Vulnerability | Measurement Report Leak |
| 19 | 57 | Modify | Known Vulnerability | Measurement Report Leak |
| 19 | 57 | Replay | Known Vulnerability | Measurement Report Leak |
| 26 | 43 | Inject | Known Vulnerability | Measurement Report Leak |
| 26 | 43 | Modify | Known Vulnerability | Measurement Report Leak |
| 27 | 24 | Inject | Known Vulnerability | Measurement Report Leak |
| 27 | 24 | Modify | Known Vulnerability | Measurement Report Leak |
| 27 | 42 | Inject | Known Vulnerability | Measurement Report Leak |
| 27 | 43 | Inject | Known Vulnerability | Measurement Report Leak |
| 27 | 43 | Modify | Known Vulnerability | Measurement Report Leak |
| 27 | 59 | Modify | Known Vulnerability | Measurement Report Leak |
| 31 | 53 | Inject | Known Vulnerability | Measurement Report Leak |
| 31 | 53 | Drop | Known Vulnerability | Measurement Report Leak |
| 31 | 53 | Modify | Known Vulnerability | Measurement Report Leak |
| 31 | 53 | Replay | Known Vulnerability | Measurement Report Leak |
| 33 | 29 | Inject | Known Vulnerability | Measurement Report Leak |
| 33 | 29 | Drop | Known Vulnerability | Measurement Report Leak |
| 33 | 29 | Modify | Known Vulnerability | Measurement Report Leak |
| 33 | 29 | Replay | Known Vulnerability | Measurement Report Leak |
